id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q96-P35-Q317681-d56d6a88-0	Q96	'Mexico'@en	P35	'head of state'@en	Q317681	'Luis Echeverría'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q317681-d56d6a88-0-P580-b399ac-0	Q96-P35-Q317681-d56d6a88-0		P580	'start time'@en	^1970-01-01T00:00:00Z/9		time								
Q96-P35-Q317681-d56d6a88-0	Q96	'Mexico'@en	P35	'head of state'@en	Q317681	'Luis Echeverría'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q317681-d56d6a88-0-P582-8f0747-0	Q96-P35-Q317681-d56d6a88-0		P582	'end time'@en	^1976-01-01T00:00:00Z/9		time								
Q96-P35-Q296718-194818d7-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296718	'Lázaro Cárdenas'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296718-194818d7-0-P580-b3e72f-0	Q96-P35-Q296718-194818d7-0		P580	'start time'@en	^1934-01-01T00:00:00Z/9		time								
Q96-P35-Q296718-194818d7-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296718	'Lázaro Cárdenas'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296718-194818d7-0-P582-8c8999-0	Q96-P35-Q296718-194818d7-0		P582	'end time'@en	^1940-01-01T00:00:00Z/9		time								
Q96-P35-Q315626-b68fc483-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315626	'Manuel Ávila Camacho'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315626-b68fc483-0-P580-8c8999-0	Q96-P35-Q315626-b68fc483-0		P580	'start time'@en	^1940-01-01T00:00:00Z/9		time								
Q96-P35-Q315626-b68fc483-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315626	'Manuel Ávila Camacho'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315626-b68fc483-0-P582-2aea71-0	Q96-P35-Q315626-b68fc483-0		P582	'end time'@en	^1946-01-01T00:00:00Z/9		time								
Q96-P35-Q315615-ae239e87-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315615	'Miguel Alemán Valdés'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315615-ae239e87-0-P580-2aea71-0	Q96-P35-Q315615-ae239e87-0		P580	'start time'@en	^1946-01-01T00:00:00Z/9		time								
Q96-P35-Q315615-ae239e87-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315615	'Miguel Alemán Valdés'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315615-ae239e87-0-P582-041ba8-0	Q96-P35-Q315615-ae239e87-0		P582	'end time'@en	^1952-01-01T00:00:00Z/9		time								
Q96-P35-Q296691-b3517642-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296691	'Miguel de la Madrid'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296691-b3517642-0-P580-0e8321-0	Q96-P35-Q296691-b3517642-0		P580	'start time'@en	^1982-01-01T00:00:00Z/9		time								
Q96-P35-Q296691-b3517642-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296691	'Miguel de la Madrid'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296691-b3517642-0-P582-39ff98-0	Q96-P35-Q296691-b3517642-0		P582	'end time'@en	^1988-01-01T00:00:00Z/9		time								
Q96-P35-Q455683-d5628f11-0	Q96	'Mexico'@en	P35	'head of state'@en	Q455683	'Pascual Ortiz Rubio'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q455683-d5628f11-0-P580-f5850f-0	Q96-P35-Q455683-d5628f11-0		P580	'start time'@en	^1930-01-01T00:00:00Z/9		time								
Q96-P35-Q455683-d5628f11-0	Q96	'Mexico'@en	P35	'head of state'@en	Q455683	'Pascual Ortiz Rubio'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q455683-d5628f11-0-P582-981870-0	Q96-P35-Q455683-d5628f11-0		P582	'end time'@en	^1932-01-01T00:00:00Z/9		time								
Q96-P35-Q315066-80243c8c-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315066	'Plutarco Elías Calles'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315066-80243c8c-0-P580-f7e657-0	Q96-P35-Q315066-80243c8c-0		P580	'start time'@en	^1924-01-01T00:00:00Z/9		time								
Q96-P35-Q315066-80243c8c-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315066	'Plutarco Elías Calles'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315066-80243c8c-0-P582-5d8899-0	Q96-P35-Q315066-80243c8c-0		P582	'end time'@en	^1928-01-01T00:00:00Z/9		time								
Q96-P35-Q313122-a2052357-0	Q96	'Mexico'@en	P35	'head of state'@en	Q313122	'Venustiano Carranza'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q313122-a2052357-0-P580-a5b665-0	Q96-P35-Q313122-a2052357-0		P580	'start time'@en	^1917-01-01T00:00:00Z/9		time								
Q96-P35-Q313122-a2052357-0	Q96	'Mexico'@en	P35	'head of state'@en	Q313122	'Venustiano Carranza'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q313122-a2052357-0-P582-6011a7-0	Q96-P35-Q313122-a2052357-0		P582	'end time'@en	^1920-01-01T00:00:00Z/9		time								
Q96-P35-Q190572-53364929-0	Q96	'Mexico'@en	P35	'head of state'@en	Q190572	'Vicente Fox Quesada'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q190572-53364929-0-P580-fdc07b-0	Q96-P35-Q190572-53364929-0		P580	'start time'@en	^2000-01-01T00:00:00Z/9		time								
Q96-P35-Q190572-53364929-0	Q96	'Mexico'@en	P35	'head of state'@en	Q190572	'Vicente Fox Quesada'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q190572-53364929-0-P582-cf2407-0	Q96-P35-Q190572-53364929-0		P582	'end time'@en	^2006-01-01T00:00:00Z/9		time								
Q96-P35-Q217498-9cd07746-0	Q96	'Mexico'@en	P35	'head of state'@en	Q217498	'Álvaro Obregón'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q217498-9cd07746-0-P580-6011a7-0	Q96-P35-Q217498-9cd07746-0		P580	'start time'@en	^1920-01-01T00:00:00Z/9		time								
Q96-P35-Q217498-9cd07746-0	Q96	'Mexico'@en	P35	'head of state'@en	Q217498	'Álvaro Obregón'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q217498-9cd07746-0-P582-f7e657-0	Q96-P35-Q217498-9cd07746-0		P582	'end time'@en	^1924-01-01T00:00:00Z/9		time								
