id	node1	node1;label	label	label;label	node2	node2;label
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P580	Q155-P1365-Q217230-19ed8df2-0		P580	'start time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P580-ckgT1	Q155-P1365-Q217230-19ed8df2-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P585	Q155-P1365-Q217230-19ed8df2-0		P585	'point in time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P585-ckgT1	Q155-P1365-Q217230-19ed8df2-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P828	Q155-P1365-Q217230-19ed8df2-0		P828	'has cause'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P828-ckgP1	Q155-P1365-Q217230-19ed8df2-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en
Q5947557-P1365-Q267484-fc20b913-0-P580	Q5947557-P1365-Q267484-fc20b913-0		P580	'start time'@en	unknown	
Q5947557-P1365-Q267484-fc20b913-0-P580-ckgT1	Q5947557-P1365-Q267484-fc20b913-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en
Q5947557-P1365-Q267484-fc20b913-0-P585	Q5947557-P1365-Q267484-fc20b913-0		P585	'point in time'@en	unknown	
Q5947557-P1365-Q267484-fc20b913-0-P585-ckgT1	Q5947557-P1365-Q267484-fc20b913-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en
Q5947557-P1365-Q267484-fc20b913-0-P828	Q5947557-P1365-Q267484-fc20b913-0		P828	'has cause'@en	unknown	
Q5947557-P1365-Q267484-fc20b913-0-P828-ckgP1	Q5947557-P1365-Q267484-fc20b913-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en
Q217230-P1365-Q3932042-f47ad438-0-P580	Q217230-P1365-Q3932042-f47ad438-0		P580	'start time'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0-P580-ckgT1	Q217230-P1365-Q3932042-f47ad438-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en
Q217230-P1365-Q3932042-f47ad438-0-P585	Q217230-P1365-Q3932042-f47ad438-0		P585	'point in time'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0-P585-ckgT1	Q217230-P1365-Q3932042-f47ad438-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en
Q217230-P1365-Q3932042-f47ad438-0-P828	Q217230-P1365-Q3932042-f47ad438-0		P828	'has cause'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0-P828-ckgP1	Q217230-P1365-Q3932042-f47ad438-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en
Q160307-P1365-Q431575-15dafac2-0-P580	Q160307-P1365-Q431575-15dafac2-0		P580	'start time'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0-P580-ckgT1	Q160307-P1365-Q431575-15dafac2-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en
Q160307-P1365-Q431575-15dafac2-0-P585	Q160307-P1365-Q431575-15dafac2-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0-P585-ckgT1	Q160307-P1365-Q431575-15dafac2-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en
Q160307-P1365-Q431575-15dafac2-0-P828	Q160307-P1365-Q431575-15dafac2-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0-P828-ckgP1	Q160307-P1365-Q431575-15dafac2-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q45-P1365-Q45670-84f93933-0	Q45	'Portugal'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en
Q45-P1365-Q45670-84f93933-0-P580	Q45-P1365-Q45670-84f93933-0		P580	'start time'@en	unknown	
Q45-P1365-Q45670-84f93933-0-P580-ckgT1	Q45-P1365-Q45670-84f93933-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45-P1365-Q45670-84f93933-0	Q45	'Portugal'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en
Q45-P1365-Q45670-84f93933-0-P585	Q45-P1365-Q45670-84f93933-0		P585	'point in time'@en	unknown	
Q45-P1365-Q45670-84f93933-0-P585-ckgT1	Q45-P1365-Q45670-84f93933-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45-P1365-Q45670-84f93933-0	Q45	'Portugal'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en
Q45-P1365-Q45670-84f93933-0-P828	Q45-P1365-Q45670-84f93933-0		P828	'has cause'@en	unknown	
Q45-P1365-Q45670-84f93933-0-P828-ckgP1	Q45-P1365-Q45670-84f93933-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q903779-P1365-Q45670-37b2006f-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en
Q903779-P1365-Q45670-37b2006f-0-P580	Q903779-P1365-Q45670-37b2006f-0		P580	'start time'@en	unknown	
Q903779-P1365-Q45670-37b2006f-0-P580-ckgT1	Q903779-P1365-Q45670-37b2006f-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P1365-Q45670-37b2006f-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en
Q903779-P1365-Q45670-37b2006f-0-P828	Q903779-P1365-Q45670-37b2006f-0		P828	'has cause'@en	unknown	
Q903779-P1365-Q45670-37b2006f-0-P828-ckgP1	Q903779-P1365-Q45670-37b2006f-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q155-P1365-Q5848654-abcbe521-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q5848654	'Republic of the United States of Brazil'@en
Q155-P1365-Q5848654-abcbe521-0-P580	Q155-P1365-Q5848654-abcbe521-0		P580	'start time'@en	unknown	
Q155-P1365-Q5848654-abcbe521-0-P580-ckgT1	Q155-P1365-Q5848654-abcbe521-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q5848654-abcbe521-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q5848654	'Republic of the United States of Brazil'@en
Q155-P1365-Q5848654-abcbe521-0-P585	Q155-P1365-Q5848654-abcbe521-0		P585	'point in time'@en	unknown	
Q155-P1365-Q5848654-abcbe521-0-P585-ckgT1	Q155-P1365-Q5848654-abcbe521-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q5848654-abcbe521-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q5848654	'Republic of the United States of Brazil'@en
Q155-P1365-Q5848654-abcbe521-0-P828	Q155-P1365-Q5848654-abcbe521-0		P828	'has cause'@en	unknown	
Q155-P1365-Q5848654-abcbe521-0-P828-ckgP1	Q155-P1365-Q5848654-abcbe521-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q75613-P1365-Q5947557-f0fbc408-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q5947557	'Taifa of Ceuta (1061-1084)'@en
Q75613-P1365-Q5947557-f0fbc408-0-P580	Q75613-P1365-Q5947557-f0fbc408-0		P580	'start time'@en	unknown	
Q75613-P1365-Q5947557-f0fbc408-0-P580-ckgT1	Q75613-P1365-Q5947557-f0fbc408-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q5947557-f0fbc408-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q5947557	'Taifa of Ceuta (1061-1084)'@en
Q75613-P1365-Q5947557-f0fbc408-0-P585	Q75613-P1365-Q5947557-f0fbc408-0		P585	'point in time'@en	unknown	
Q75613-P1365-Q5947557-f0fbc408-0-P585-ckgT1	Q75613-P1365-Q5947557-f0fbc408-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q5947557-f0fbc408-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q5947557	'Taifa of Ceuta (1061-1084)'@en
Q75613-P1365-Q5947557-f0fbc408-0-P828	Q75613-P1365-Q5947557-f0fbc408-0		P828	'has cause'@en	unknown	
Q75613-P1365-Q5947557-f0fbc408-0-P828-ckgP1	Q75613-P1365-Q5947557-f0fbc408-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q199688-P1365-Q75613-2b6891d0-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q75613	'Almoravid dynasty'@en
Q199688-P1365-Q75613-2b6891d0-0-P580	Q199688-P1365-Q75613-2b6891d0-0		P580	'start time'@en	unknown	
Q199688-P1365-Q75613-2b6891d0-0-P580-ckgT1	Q199688-P1365-Q75613-2b6891d0-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q199688-P1365-Q75613-2b6891d0-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q75613	'Almoravid dynasty'@en
Q199688-P1365-Q75613-2b6891d0-0-P585	Q199688-P1365-Q75613-2b6891d0-0		P585	'point in time'@en	unknown	
Q199688-P1365-Q75613-2b6891d0-0-P585-ckgT1	Q199688-P1365-Q75613-2b6891d0-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q199688-P1365-Q75613-2b6891d0-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q75613	'Almoravid dynasty'@en
Q199688-P1365-Q75613-2b6891d0-0-P828	Q199688-P1365-Q75613-2b6891d0-0		P828	'has cause'@en	unknown	
Q199688-P1365-Q75613-2b6891d0-0-P828-ckgP1	Q199688-P1365-Q75613-2b6891d0-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q160307-P1365-Q828665-8c65ac0c-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q828665	'Ikhshidid dynasty'@en
Q160307-P1365-Q828665-8c65ac0c-0-P580	Q160307-P1365-Q828665-8c65ac0c-0		P580	'start time'@en	unknown	
Q160307-P1365-Q828665-8c65ac0c-0-P580-ckgT1	Q160307-P1365-Q828665-8c65ac0c-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q828665-8c65ac0c-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q828665	'Ikhshidid dynasty'@en
Q160307-P1365-Q828665-8c65ac0c-0-P585	Q160307-P1365-Q828665-8c65ac0c-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q828665-8c65ac0c-0-P585-ckgT1	Q160307-P1365-Q828665-8c65ac0c-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q828665-8c65ac0c-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q828665	'Ikhshidid dynasty'@en
Q160307-P1365-Q828665-8c65ac0c-0-P828	Q160307-P1365-Q828665-8c65ac0c-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q828665-8c65ac0c-0-P828-ckgP1	Q160307-P1365-Q828665-8c65ac0c-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P580	Q217230-P1365-Q903779-bfbd464b-0		P580	'start time'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P580-ckgT1	Q217230-P1365-Q903779-bfbd464b-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P585	Q217230-P1365-Q903779-bfbd464b-0		P585	'point in time'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P585-ckgT1	Q217230-P1365-Q903779-bfbd464b-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P828	Q217230-P1365-Q903779-bfbd464b-0		P828	'has cause'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P828-ckgP1	Q217230-P1365-Q903779-bfbd464b-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q45670-P1365-Q903779-5599931b-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q45670-P1365-Q903779-5599931b-0-P580	Q45670-P1365-Q903779-5599931b-0		P580	'start time'@en	unknown	
Q45670-P1365-Q903779-5599931b-0-P580-ckgT1	Q45670-P1365-Q903779-5599931b-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45670-P1365-Q903779-5599931b-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q45670-P1365-Q903779-5599931b-0-P828	Q45670-P1365-Q903779-5599931b-0		P828	'has cause'@en	unknown	
Q45670-P1365-Q903779-5599931b-0-P828-ckgP1	Q45670-P1365-Q903779-5599931b-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q160307-P1365-Q940123-f40012b0-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q940123	'Rustamid dynasty'@en
Q160307-P1365-Q940123-f40012b0-0-P580	Q160307-P1365-Q940123-f40012b0-0		P580	'start time'@en	unknown	
Q160307-P1365-Q940123-f40012b0-0-P580-ckgT1	Q160307-P1365-Q940123-f40012b0-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q940123-f40012b0-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q940123	'Rustamid dynasty'@en
Q160307-P1365-Q940123-f40012b0-0-P585	Q160307-P1365-Q940123-f40012b0-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q940123-f40012b0-0-P585-ckgT1	Q160307-P1365-Q940123-f40012b0-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q940123-f40012b0-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q940123	'Rustamid dynasty'@en
Q160307-P1365-Q940123-f40012b0-0-P828	Q160307-P1365-Q940123-f40012b0-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q940123-f40012b0-0-P828-ckgP1	Q160307-P1365-Q940123-f40012b0-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q75613-P1365-Q965692-203baff7-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q965692	'taifa (first period)'@en
Q75613-P1365-Q965692-203baff7-0-P580	Q75613-P1365-Q965692-203baff7-0		P580	'start time'@en	unknown	
Q75613-P1365-Q965692-203baff7-0-P580-ckgT1	Q75613-P1365-Q965692-203baff7-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q965692-203baff7-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q965692	'taifa (first period)'@en
Q75613-P1365-Q965692-203baff7-0-P585	Q75613-P1365-Q965692-203baff7-0		P585	'point in time'@en	unknown	
Q75613-P1365-Q965692-203baff7-0-P585-ckgT1	Q75613-P1365-Q965692-203baff7-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P1365-Q965692-203baff7-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q965692	'taifa (first period)'@en
Q75613-P1365-Q965692-203baff7-0-P828	Q75613-P1365-Q965692-203baff7-0		P828	'has cause'@en	unknown	
Q75613-P1365-Q965692-203baff7-0-P828-ckgP1	Q75613-P1365-Q965692-203baff7-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
id	node1	node1;label	label	label;label	node2	node2;label
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	P31	Q3624078	'sovereign state'@en
Q217230-P576-613a9d-c8558178-0	Q217230	'Empire of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1889-11-15T00:00:00Z/11	
Q217230-P576-613a9d-c8558178-0-P576	Q217230-P576-613a9d-c8558178-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	P31	Q3624078	'sovereign state'@en
Q903779-P576-9c5ecd-7c4cf98c-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P576	'dissolved, abolished or demolished date'@en	^1822-09-07T00:00:00Z/11	
Q903779-P576-9c5ecd-7c4cf98c-0-P576	Q903779-P576-9c5ecd-7c4cf98c-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1139807-P31-Q3024240-e26bbdb4-0	Q1139807	'County of Portugal'@en	P31	P31	Q3024240	'historical country'@en
Q1139807-P576-e42ac7-4cf5e2bf-0	Q1139807	'County of Portugal'@en	P576	'dissolved, abolished or demolished date'@en	^1139-01-01T00:00:00Z/9	
Q1139807-P576-e42ac7-4cf5e2bf-0-P576	Q1139807-P576-e42ac7-4cf5e2bf-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q11876909-P31-Q3024240-63949960-0	Q11876909	'State of Brazil'@en	P31	P31	Q3024240	'historical country'@en
Q11876909-P576-895cae-3256228c-0	Q11876909	'State of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1815-01-01T00:00:00Z/9	
Q11876909-P576-895cae-3256228c-0-P576	Q11876909-P576-895cae-3256228c-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q12536-P31-Q3024240-e8c1f841-0	Q12536	'Abbasid Caliphate'@en	P31	P31	Q3024240	'historical country'@en
Q12536-P576-2b441b-5e6218e0-0	Q12536	'Abbasid Caliphate'@en	P576	'dissolved, abolished or demolished date'@en	^1258-01-01T00:00:00Z/9	
Q12536-P576-2b441b-5e6218e0-0-P576	Q12536-P576-2b441b-5e6218e0-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P31-Q3024240-41ba6b4a-0	Q160307	'Fatimid Caliphate'@en	P31	P31	Q3024240	'historical country'@en
Q160307-P576-8ccd4a-a9490280-0	Q160307	'Fatimid Caliphate'@en	P576	'dissolved, abolished or demolished date'@en	^1171-01-01T00:00:00Z/9	
Q160307-P576-8ccd4a-a9490280-0-P576	Q160307-P576-8ccd4a-a9490280-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q199688-P31-Q3024240-d6fa313c-0	Q199688	'Almohad Caliphate'@en	P31	P31	Q3024240	'historical country'@en
Q199688-P576-424159-5411b8a6-0	Q199688	'Almohad Caliphate'@en	P576	'dissolved, abolished or demolished date'@en	^1269-01-01T00:00:00Z/9	
Q199688-P576-424159-5411b8a6-0-P576	Q199688-P576-424159-5411b8a6-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q205708-P31-Q3024240-5d5fea3a-0	Q205708	'Taifa of Granada'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q205708-P576-d8d288-86ac61b1-0	Q205708	'Taifa of Granada'@en	P576	'dissolved, abolished or demolished date'@en	^1090-01-01T00:00:00Z/9	
Q205708-P576-d8d288-86ac61b1-0-P576	Q205708-P576-d8d288-86ac61b1-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q207600-P31-Q3024240-52fff96a-0	Q207600	'Aghlabids'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q207600-P576-fe8b9b-0d7e82a8-0	Q207600	'Aghlabids'@en	P576	'dissolved, abolished or demolished date'@en	^0909-01-01T00:00:00Z/9	
Q207600-P576-fe8b9b-0d7e82a8-0-P576	Q207600-P576-fe8b9b-0d7e82a8-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3024240-0e78bec7-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q217230-P576-613a9d-c8558178-0	Q217230	'Empire of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1889-11-15T00:00:00Z/11	
Q217230-P576-613a9d-c8558178-0-P576	Q217230-P576-613a9d-c8558178-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q267484-P31-Q3024240-030d8112-0	Q267484	'Taifa of Málaga'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q267484-P576-30cc1c-1f503dae-0	Q267484	'Taifa of Málaga'@en	P576	'dissolved, abolished or demolished date'@en	^1239-01-01T00:00:00Z/9	
Q267484-P576-30cc1c-1f503dae-0-P576	Q267484-P576-30cc1c-1f503dae-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q431575-P31-Q3024240-c47f4bb1-0	Q431575	'Idrisid dynasty'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q431575-P576-b1cc0d-fbe949d6-0	Q431575	'Idrisid dynasty'@en	P576	'dissolved, abolished or demolished date'@en	^0974-01-01T00:00:00Z/9	
Q431575-P576-b1cc0d-fbe949d6-0-P576	Q431575-P576-b1cc0d-fbe949d6-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45670-P31-Q3024240-e7dcd8f0-0	Q45670	'Kingdom of Portugal'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q45670-P576-6d24e9-910670d6-0	Q45670	'Kingdom of Portugal'@en	P576	'dissolved, abolished or demolished date'@en	^1910-10-05T00:00:00Z/11	
Q45670-P576-6d24e9-910670d6-0-P576	Q45670-P576-6d24e9-910670d6-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q5947557-P31-Q3024240-6609bc93-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q5947557-P576-e3c63c-4ca54981-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P576	'dissolved, abolished or demolished date'@en	^1084-01-01T00:00:00Z/9	
Q5947557-P576-e3c63c-4ca54981-0-P576	Q5947557-P576-e3c63c-4ca54981-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q75613-P31-Q3024240-2e27517f-0	Q75613	'Almoravid dynasty'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q75613-P576-f13ef7-5772fa03-0	Q75613	'Almoravid dynasty'@en	P576	'dissolved, abolished or demolished date'@en	^1147-01-01T00:00:00Z/9	
Q75613-P576-f13ef7-5772fa03-0-P576	Q75613-P576-f13ef7-5772fa03-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q828665-P31-Q3024240-2fbc6ef2-0	Q828665	'Ikhshidid dynasty'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q828665-P576-149fbe-c1ef8741-0	Q828665	'Ikhshidid dynasty'@en	P576	'dissolved, abolished or demolished date'@en	^0969-01-01T00:00:00Z/9	
Q828665-P576-149fbe-c1ef8741-0-P576	Q828665-P576-149fbe-c1ef8741-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P31-Q3024240-c8351482-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q903779-P576-9c5ecd-7c4cf98c-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P576	'dissolved, abolished or demolished date'@en	^1822-09-07T00:00:00Z/11	
Q903779-P576-9c5ecd-7c4cf98c-0-P576	Q903779-P576-9c5ecd-7c4cf98c-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q940123-P31-Q3024240-b13a150e-0	Q940123	'Rustamid dynasty'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q940123-P576-149fbe-59900b6d-0	Q940123	'Rustamid dynasty'@en	P576	'dissolved, abolished or demolished date'@en	^0969-01-01T00:00:00Z/9	
Q940123-P576-149fbe-59900b6d-0-P576	Q940123-P576-149fbe-59900b6d-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q217230-P30-Q18-9d189008-0	Q217230	'Empire of Brazil'@en	P30	'continent'@en	Q18	'South America'@en
Q217230-P30-Q18-9d189008-0-P30	Q217230-P30-Q18-9d189008-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q15-d25cb508-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q15	'Africa'@en
Q903779-P30-Q15-d25cb508-0-P30	Q903779-P30-Q15-d25cb508-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q48-0bbf540d-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q48	'Asia'@en
Q903779-P30-Q48-0bbf540d-0-P30	Q903779-P30-Q48-0bbf540d-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q46-dbe755be-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q46	'Europe'@en
Q903779-P30-Q46-dbe755be-0-P30	Q903779-P30-Q46-dbe755be-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q18-ed1d41f5-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q18	'South America'@en
