id	node1	node1;label	label	label;label	node2	node2;label
Q16-P1313-Q839078-ca6f606e-0	Q16	'Canada'@en	P1313	'office held by head of government'@en	Q839078	'Prime Minister of Canada'@en
Q16-P1906-Q14931511-c3c85b99-0	Q16	'Canada'@en	P1906	'office held by head of state'@en	Q14931511	'monarch of Canada'@en
Q16-P1906-Q9134365-c91d1868-0	Q16	'Canada'@en	P1906	'office held by head of state'@en	Q9134365	'monarch of the United Kingdom'@en
Q16-P35-Q20875-ee647ff7-0	Q16	'Canada'@en	P35	'head of state'@en	Q20875	'Edward VII'@en
Q16-P35-Q269412-a96aeea9-0	Q16	'Canada'@en	P35	'head of state'@en	Q269412	'George V'@en
Q16-P35-Q280856-2ca68963-0	Q16	'Canada'@en	P35	'head of state'@en	Q280856	'George VI'@en
Q16-P35-Q590227-a62ad842-0	Q16	'Canada'@en	P35	'head of state'@en	Q590227	'Edward VIII'@en
Q16-P35-Q9439-41fd24f9-0	Q16	'Canada'@en	P35	'head of state'@en	Q9439	'Queen Victoria'@en
Q16-P35-Q9682-213e563b-0	Q16	'Canada'@en	P35	'head of state'@en	Q9682	'Elizabeth II'@en
Q16-P6-Q128633-a930c997-0	Q16	'Canada'@en	P6	'head of government'@en	Q128633	'William Lyon Mackenzie King'@en
Q16-P6-Q128633-b032db00-0	Q16	'Canada'@en	P6	'head of government'@en	Q128633	'William Lyon Mackenzie King'@en
Q16-P6-Q128633-d5ba36de-0	Q16	'Canada'@en	P6	'head of government'@en	Q128633	'William Lyon Mackenzie King'@en
Q16-P6-Q128702-bbab2954-0	Q16	'Canada'@en	P6	'head of government'@en	Q128702	'the man'@en
Q16-P6-Q128708-e9737048-0	Q16	'Canada'@en	P6	'head of government'@en	Q128708	'Alexander Mackenzie'@en
Q16-P6-Q206-780016f3-0	Q16	'Canada'@en	P6	'head of government'@en	Q206	'Stephen Harper'@en
Q16-P6-Q3099714-5d521cd7-0	Q16	'Canada'@en	P6	'head of government'@en	Q3099714	'Justin Trudeau'@en
Q16-P1313-Q839078-ca6f606e-0-P580	Q16-P1313-Q839078-ca6f606e-0		P580	'start time'@en	unknown	
Q16-P1313-Q839078-ca6f606e-0-P805	Q16-P1313-Q839078-ca6f606e-0		P805	'statement is subject of'@en	unknown	
Q16-P1313-Q839078-ca6f606e-0-P580-ckgT1	Q16-P1313-Q839078-ca6f606e-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P1313-Q839078-ca6f606e-0-P805-ckgP1	Q16-P1313-Q839078-ca6f606e-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P1906-Q14931511-c3c85b99-0-P580-b98811-0	Q16-P1906-Q14931511-c3c85b99-0		P580	'start time'@en	^1931-01-01T00:00:00Z/9	
Q16-P1906-Q14931511-c3c85b99-0-P805	Q16-P1906-Q14931511-c3c85b99-0		P805	'statement is subject of'@en	unknown	
Q16-P1906-Q14931511-c3c85b99-0-P580-b98811-0-P580	Q16-P1906-Q14931511-c3c85b99-0-P580-b98811-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P1906-Q14931511-c3c85b99-0-P805-ckgP1	Q16-P1906-Q14931511-c3c85b99-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P1906-Q9134365-c91d1868-0-P580-e2a556-0	Q16-P1906-Q9134365-c91d1868-0		P580	'start time'@en	^1867-07-01T00:00:00Z/11	
Q16-P1906-Q9134365-c91d1868-0-P582-b98811-0	Q16-P1906-Q9134365-c91d1868-0		P582	'end time'@en	^1931-01-01T00:00:00Z/9	
Q16-P1906-Q9134365-c91d1868-0-P805	Q16-P1906-Q9134365-c91d1868-0		P805	'statement is subject of'@en	unknown	
Q16-P1906-Q9134365-c91d1868-0-P580-e2a556-0-P580	Q16-P1906-Q9134365-c91d1868-0-P580-e2a556-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P1906-Q9134365-c91d1868-0-P582-b98811-0-P582	Q16-P1906-Q9134365-c91d1868-0-P582-b98811-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P1906-Q9134365-c91d1868-0-P805-ckgP1	Q16-P1906-Q9134365-c91d1868-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P35-Q20875-ee647ff7-0-P580-a6a4d4-0	Q16-P35-Q20875-ee647ff7-0		P580	'start time'@en	^1901-01-22T00:00:00Z/11	
Q16-P35-Q20875-ee647ff7-0-P582-3813a8-0	Q16-P35-Q20875-ee647ff7-0		P582	'end time'@en	^1910-05-06T00:00:00Z/11	
Q16-P35-Q20875-ee647ff7-0-P805	Q16-P35-Q20875-ee647ff7-0		P805	'statement is subject of'@en	unknown	
Q16-P35-Q20875-ee647ff7-0-Q16-P1906-Q9134365-c91d1868-0	Q16-P35-Q20875-ee647ff7-0		ckgt1	Temporal Overlaps	Q16-P1906-Q9134365-c91d1868-0	
Q16-P35-Q20875-ee647ff7-0-P580-a6a4d4-0-P580	Q16-P35-Q20875-ee647ff7-0-P580-a6a4d4-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q20875-ee647ff7-0-P582-3813a8-0-P582	Q16-P35-Q20875-ee647ff7-0-P582-3813a8-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q20875-ee647ff7-0-P805-ckgP1	Q16-P35-Q20875-ee647ff7-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P35-Q20875-ee647ff7-0-Q16-P1906-Q9134365-c91d1868-0-ckgT1	Q16-P35-Q20875-ee647ff7-0-Q16-P1906-Q9134365-c91d1868-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q16-P35-Q269412-a96aeea9-0-P580-3813a8-0	Q16-P35-Q269412-a96aeea9-0		P580	'start time'@en	^1910-05-06T00:00:00Z/11	
Q16-P35-Q269412-a96aeea9-0-P582-0105d9-0	Q16-P35-Q269412-a96aeea9-0		P582	'end time'@en	^1936-01-20T00:00:00Z/11	
Q16-P35-Q269412-a96aeea9-0-P805	Q16-P35-Q269412-a96aeea9-0		P805	'statement is subject of'@en	unknown	
Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q14931511-c3c85b99-0	Q16-P35-Q269412-a96aeea9-0		ckgt1	Temporal Overlaps	Q16-P1906-Q14931511-c3c85b99-0	
Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q9134365-c91d1868-0	Q16-P35-Q269412-a96aeea9-0		ckgt1	Temporal Overlaps	Q16-P1906-Q9134365-c91d1868-0	
Q16-P35-Q269412-a96aeea9-0-P580-3813a8-0-P580	Q16-P35-Q269412-a96aeea9-0-P580-3813a8-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q269412-a96aeea9-0-P582-0105d9-0-P582	Q16-P35-Q269412-a96aeea9-0-P582-0105d9-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q269412-a96aeea9-0-P805-ckgP1	Q16-P35-Q269412-a96aeea9-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q14931511-c3c85b99-0-ckgT1	Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q14931511-c3c85b99-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q9134365-c91d1868-0-ckgT1	Q16-P35-Q269412-a96aeea9-0-Q16-P1906-Q9134365-c91d1868-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q16-P35-Q280856-2ca68963-0-P580-27dd2e-0	Q16-P35-Q280856-2ca68963-0		P580	'start time'@en	^1936-12-11T00:00:00Z/11	
Q16-P35-Q280856-2ca68963-0-P582-6e5c60-0	Q16-P35-Q280856-2ca68963-0		P582	'end time'@en	^1952-02-06T00:00:00Z/11	
Q16-P35-Q280856-2ca68963-0-P805	Q16-P35-Q280856-2ca68963-0		P805	'statement is subject of'@en	unknown	
Q16-P35-Q280856-2ca68963-0-Q16-P1906-Q14931511-c3c85b99-0	Q16-P35-Q280856-2ca68963-0		ckgt1	Temporal Overlaps	Q16-P1906-Q14931511-c3c85b99-0	
Q16-P35-Q280856-2ca68963-0-P580-27dd2e-0-P580	Q16-P35-Q280856-2ca68963-0-P580-27dd2e-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q280856-2ca68963-0-P582-6e5c60-0-P582	Q16-P35-Q280856-2ca68963-0-P582-6e5c60-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P35-Q280856-2ca68963-0-P805-ckgP1	Q16-P35-Q280856-2ca68963-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q16-P35-Q280856-2ca68963-0-Q16-P1906-Q14931511-c3c85b99-0-ckgT1	Q16-P35-Q280856-2ca68963-0-Q16-P1906-Q14931511-c3c85b99-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q16-P35-Q590227-a62ad842-0-P580-0105d9-0	Q16-P35-Q590227-a62ad842-0		P580	'start time'@en	^1936-01-20T00:00:00Z/11	
